nloc,CCN,token_count,parameter_count,length,location,filename,filepath,function_name,signature,start_line,end_line
33,1,33,2,33,jsonify@138-170@.\src\flask\json\__init__.py,.\src\flask\json\__init__.py,jsonify,"jsonify( * args : t . Any , ** kwargs : t . Any )",138,170,202
4,3,36,1,5,_make_timedelta@52-56@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,_make_timedelta,_make_timedelta( value : timedelta | int | None ),52,56,60
55,3,292,11,130,__init__@282-411@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,__init__,"__init__( self , import_name : str , static_url_path : str | None = None , static_folder : str | os . PathLike [ str ] | None = 'static' , static_host : str | None = None , host_matching : bool = False , subdomain_matching : bool = False , template_folder : str | os . PathLike [ str ] | None = 'templates' , instance_path : str | None = None , instance_relative_config : bool = False , root_path : str | None = None , )",282,411,540
11,2,28,2,11,_check_setup_finished@413-423@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,_check_setup_finished,"_check_setup_finished( self , f_name : str )",413,423,433
15,3,64,1,15,name@426-440@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,name,name( self ),426,440,454
25,1,15,1,25,logger@443-467@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,logger,logger( self ),443,467,491
8,1,14,1,8,jinja_env@470-477@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,jinja_env,jinja_env( self ),470,477,484
2,1,11,1,2,create_jinja_environment@479-480@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,create_jinja_environment,create_jinja_environment( self ),479,480,481
15,2,52,2,15,make_config@482-496@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,make_config,"make_config( self , instance_relative : bool = False )",482,496,510
11,1,14,1,11,make_aborter@498-508@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,make_aborter,make_aborter( self ),498,508,518
12,2,48,1,12,auto_find_instance_path@510-521@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,auto_find_instance_path,auto_find_instance_path( self ),510,521,532
12,1,13,1,12,create_global_jinja_loader@523-534@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,create_global_jinja_loader,create_global_jinja_loader( self ),523,534,545
12,2,36,2,12,select_jinja_autoescape@536-547@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,select_jinja_autoescape,"select_jinja_autoescape( self , filename : str )",536,547,558
11,1,15,1,11,debug@550-560@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,debug,debug( self ),550,560,570
4,2,36,2,5,debug@563-567@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,debug,"debug( self , value : bool )",563,567,571
26,1,27,3,26,register_blueprint@570-595@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,register_blueprint,"register_blueprint( self , blueprint : Blueprint , ** options : t . Any )",570,595,620
6,1,21,1,6,iter_blueprints@597-602@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,iter_blueprints,iter_blueprints( self ),597,602,607
43,13,257,6,57,add_url_rule@605-661@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,add_url_rule,"add_url_rule( self , rule : str , endpoint : str | None = None , view_func : ft . RouteCallable | None = None , provide_automatic_options : bool | None = None , ** options : t . Any , )",605,661,717
3,1,21,1,3,template_filter.decorator@679-681@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,template_filter.decorator,template_filter.decorator( f : T_template_filter ),679,681,683
16,1,29,2,20,template_filter@664-683@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,template_filter,"template_filter( self , name : str | None = None )",664,683,702
10,2,36,3,10,add_template_filter@686-695@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,add_template_filter,"add_template_filter( self , f : ft . TemplateFilterCallable , name : str | None = None )",686,695,704
3,1,21,1,3,template_test.decorator@720-722@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,template_test.decorator,template_test.decorator( f : T_template_test ),720,722,724
23,1,29,2,27,template_test@698-724@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,template_test,"template_test( self , name : str | None = None )",698,724,750
12,2,36,3,12,add_template_test@727-738@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,add_template_test,"add_template_test( self , f : ft . TemplateTestCallable , name : str | None = None )",727,738,749
3,1,21,1,3,template_global.decorator@758-760@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,template_global.decorator,template_global.decorator( f : T_template_global ),758,760,762
18,1,29,2,22,template_global@741-762@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,template_global,"template_global( self , name : str | None = None )",741,762,783
12,2,36,3,12,add_template_global@765-776@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,add_template_global,"add_template_global( self , f : ft . TemplateGlobalCallable , name : str | None = None )",765,776,787
32,1,22,2,32,teardown_appcontext@779-810@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,teardown_appcontext,"teardown_appcontext( self , f : T_teardown )",779,810,841
9,1,22,2,9,shell_context_processor@813-821@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,shell_context_processor,"shell_context_processor( self , f : T_shell_context_processor )",813,821,829
20,7,109,3,24,_find_error_handler@823-846@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,_find_error_handler,"_find_error_handler( self , e : Exception , blueprints : list [ str ] )",823,846,869
29,6,62,2,34,trap_http_exception@848-881@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,trap_http_exception,"trap_http_exception( self , e : Exception )",848,881,914
9,1,16,2,9,should_ignore_error@883-891@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,should_ignore_error,"should_ignore_error( self , error : BaseException | None )",883,891,899
17,1,34,3,17,redirect@893-909@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,redirect,"redirect( self , location : str , code : int = 302 )",893,909,925
16,5,93,3,20,inject_url_defaults@911-930@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,inject_url_defaults,"inject_url_defaults( self , endpoint : str , values : dict [ str , t . Any ] )",911,930,949
28,5,79,4,33,handle_url_build_error@932-964@.\src\flask\sansio\app.py,.\src\flask\sansio\app.py,handle_url_build_error,"handle_url_build_error( self , error : BuildError , endpoint : str , values : dict [ str , t . Any ] )",932,964,996
23,3,160,5,45,__init__@41-85@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,__init__,"__init__( self , blueprint : Blueprint , app : App , options : t . Any , first_registration : bool , )",41,85,129
29,5,151,5,30,add_url_rule@87-116@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,add_url_rule,"add_url_rule( self , rule : str , endpoint : str | None = None , view_func : ft . RouteCallable | None = None , ** options : t . Any , )",87,116,145
33,4,213,11,38,__init__@174-211@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,__init__,"__init__( self , name : str , import_name : str , static_folder : str | os . PathLike [ str ] | None = None , static_url_path : str | None = None , template_folder : str | os . PathLike [ str ] | None = None , url_prefix : str | None = None , subdomain : str | None = None , url_defaults : dict [ str , t . Any ] | None = None , root_path : str | None = None , cli_group : str | None = _sentinel , )",174,211,248
9,2,27,2,9,_check_setup_finished@213-221@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,_check_setup_finished,"_check_setup_finished( self , f_name : str )",213,221,229
7,1,20,2,7,record@224-230@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,record,"record( self , func : DeferredSetupFunction )",224,230,236
3,2,18,1,3,record_once.wrapper@240-242@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,record_once.wrapper,record_once.wrapper( state : BlueprintSetupState ),240,242,244
8,1,25,2,12,record_once@233-244@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,record_once,"record_once( self , func : DeferredSetupFunction )",233,244,255
8,1,40,4,8,make_setup_state@246-253@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,make_setup_state,"make_setup_state( self , app : App , options : dict [ str , t . Any ] , first_registration : bool = False )",246,253,260
16,2,41,3,16,register_blueprint@256-271@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,register_blueprint,"register_blueprint( self , blueprint : Blueprint , ** options : t . Any )",256,271,286
89,23,457,3,105,register@273-377@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,register,"register( self , app : App , options : dict [ str , t . Any ] )",273,377,481
7,3,68,2,7,_merge_blueprint_funcs.extend@380-386@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,_merge_blueprint_funcs.extend,"_merge_blueprint_funcs.extend( bp_dict : dict [ ft . AppOrBlueprintKey , list [ t . Any ] ] , parent_dict : dict [ ft . AppOrBlueprintKey , list [ t . Any ] ] , )",380,386,392
23,6,167,3,32,_merge_blueprint_funcs@379-410@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,_merge_blueprint_funcs,"_merge_blueprint_funcs( self , app : App , name : str )",379,410,441
27,6,105,6,29,add_url_rule@413-441@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,add_url_rule,"add_url_rule( self , rule : str , endpoint : str | None = None , view_func : ft . RouteCallable | None = None , provide_automatic_options : bool | None = None , ** options : t . Any , )",413,441,469
3,1,21,1,3,app_template_filter.decorator@454-456@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,app_template_filter.decorator,app_template_filter.decorator( f : T_template_filter ),454,456,458
11,1,29,2,15,app_template_filter@444-458@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,app_template_filter,"app_template_filter( self , name : str | None = None )",444,458,472
2,2,25,1,2,add_app_template_filter.register_template@472-473@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,add_app_template_filter.register_template,add_app_template_filter.register_template( state : BlueprintSetupState ),472,473,474
12,1,30,3,15,add_app_template_filter@461-475@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,add_app_template_filter,"add_app_template_filter( self , f : ft . TemplateFilterCallable , name : str | None = None )",461,475,489
3,1,21,1,3,app_template_test.decorator@490-492@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,app_template_test.decorator,app_template_test.decorator( f : T_template_test ),490,492,494
13,1,29,2,17,app_template_test@478-494@.\src\flask\sansio\blueprints.py,.\src\flask\sansio\blueprints.py,app_template_test,"app_template_test( self , name : str | None = None )",478,494,510
